Sentence,Label
I love this product!,Positive
The service was terrible.,Negative
Amazing experience!,Positive
I'm disappointed with the quality.,Negative
Great customer support!,Positive
Worst purchase ever.,Negative
Fantastic job!,Positive
The food was awful.,Negative
I adore this place.,Positive
Not worth the money.,Negative
Excellent performance.,Positive
Horrible experience!,Negative
Highly recommend!,Positive
Disappointing service.,Negative
Absolutely fabulous!,Positive
Avoid at all costs.,Negative
I'm thrilled with the results.,Positive
The worst thing ever.,Negative
Outstanding performance!,Positive
Terrible customer service.,Negative
Lovely atmosphere.,Positive
I regret buying this.,Negative
Incredible service!,Positive
I can't stand it.,Negative
Delighted with the outcome.,Positive
Disgusting behavior.,Negative
The best decision I ever made.,Positive
Absolutely terrible.,Negative
Impressed with the quality.,Positive
Total waste of money.,Negative
